point_id,x,y,z,exact,value,abs_error,std_error,sample_variance,predicted_samples,samples_used,mean_steps,is_valid,nearest_surface_distance_proxy,nearest_surface_distance_proxy_norm,local_triangle_area,local_triangle_size,local_triangle_size_norm,local_triangle_aspect_ratio,local_triangle_quality,local_normal_variation,local_curvature_proxy
0,-0.0401502848,-0.123813726,-0.187031746,-0.350995749,-0.377140194,0.0261444449,0.00855375826,0.00468267407,64,64,12.890625,1,0.22241051184819005,0.889519388217958,8.018120049930658e-07,0.0014537862832286173,0.005814343371233523,1.7129100282913707,0.8359883055349187,0.22880096174212416,0.22880096174212416
1,-0.0562621504,-0.116468787,-0.142583162,-0.315314114,-0.328927815,0.0136137009,0.0175031964,0.0196071602,64,64,15.53125,1,0.18886742113682095,0.7553655243534549,8.018120049930658e-07,0.0014537862832286173,0.005814343371233523,1.7129100282913707,0.8359883055349187,0.22880096174212416,0.22880096174212416
2,-0.0556046665,0.146085054,-0.0941169858,-0.00363659859,-0.000967755099,0.0026688436,0.0259207189,0.0430005565,64,64,21.125,1,0.03962653932252876,0.15848430329331795,4.0600670044956476e-07,0.0010885346287137305,0.004353538189096071,1.607789502470397,0.7525503929548875,0.09227878421422626,0.09227878421422626
3,-0.205359891,0.157912314,0.174964309,0.127516732,0.126778036,0.000738695264,0.00953197852,0.00581495138,64,64,14.546875,1,0.1759599797455592,0.7037428772294236,7.118289435380462e-07,0.0013781212266299875,0.005511724874042028,1.696611909854328,0.8292863010153643,0.006181801233962096,0.006181801233962096
4,-0.0711729378,-0.18980588,-0.182438612,-0.44341743,-0.443311185,0.000106245279,0.00968703162,0.00600566948,64,64,14.359375,1,0.2728409175753695,1.0912131988083638,3.1684482932429807e-07,0.0011113060675259114,0.004444611385919068,2.0542212594565377,0.5426820586874214,0.33091499578067624,0.33091499578067624
5,0.0454330146,-0.167837426,-0.000856652856,-0.123261064,-0.0971414596,0.0261196047,0.024098279,0.0371665321,64,64,15.03125,1,0.20351402341595728,0.8139438558834947,1.0702255491979348e-06,0.0017468447190244856,0.006986415492982807,1.9793520066448034,0.7515167781749033,0.0037261949029935293,0.0037261949029935293
6,-0.159665287,-0.0981083214,-0.157772958,-0.415546566,-0.42312941,0.0075828433,0.0272471532,0.0259842593,35,35,14.5714283,1,0.21973577269125355,0.8788219067061814,1.003716530921535e-06,0.001776801578304891,0.007106226408926501,2.3104659449151383,0.6676264782358146,0.24407677060219,0.24407677060219
7,0.028324917,0.105330855,-0.13123244,0.00242333114,-0.0186166894,0.0210400205,0.0237146374,0.0359925777,64,64,17.671875,1,0.10121780060630224,0.4048153809094249,7.54894111233122e-07,0.0014060812644744536,0.00562354960548699,1.6198438469151433,0.8501310011583156,0.0177695899129449,0.0177695899129449
8,0.189711958,0.121197164,-0.0060942471,0.304814875,0.287402987,0.0174118876,0.0234592091,0.0352214053,64,64,17.40625,1,0.1410599198847964,0.5641618851344744,2.453843602335476e-07,0.000885553589319038,0.003541725975357481,2.382831187346956,0.6531851305147388,0.004194390238569749,0.004194390238569749
9,-0.076459989,0.163115263,0.201486588,0.288141847,0.293179333,0.00503748655,0.0109235132,0.00763668073,64,64,14.28125,1,0.1520166553580426,0.6079827843988059,7.301889248652308e-07,0.0014004848847855135,0.00560116717312903,1.731848123283345,0.8213349231436571,0.009383169285605822,0.009383169285605822
10,-0.194224551,0.101671755,-0.168382078,-0.260934889,-0.274702251,0.0137673616,0.0101604676,0.00660704635,64,64,14.953125,1,0.1791600350871402,0.7165413337684279,4.878541314651198e-07,0.0013616786596402028,0.005445963674142136,3.1072882837372497,0.5222273338483974,0.11061682034683655,0.11061682034683655
11,0.137779057,0.0589639843,0.0155656785,0.21230872,0.182542443,0.0297662765,0.0299109314,0.0572584867,64,64,23.4375,1,0.07695715039946227,0.3077861598063857,7.048081541553396e-07,0.0013723760578848922,0.005488747367516462,1.6984990530114612,0.8278204954148477,0.0024018243280713447,0.0024018243280713447
12,0.0649405718,-0.0451626927,-0.186254427,-0.166476548,-0.168585762,0.00210921466,0.0146158906,0.0136719523,64,64,15.625,1,0.1907823965863221,0.7630243700444147,9.941287065781454e-07,0.0015482096822087,0.006191984892743769,1.2761174524097851,0.9459815652625446,0.040632487293572016,0.040632487293572016
13,-0.137559831,-0.0289794058,-0.0431752503,-0.209714487,-0.228286847,0.0185723603,0.0200838037,0.0258149877,64,64,19.890625,1,0.10070887601979087,0.4027799632347798,9.870637751048943e-07,0.0016198183409857185,0.006478380035748159,1.7163227442366378,0.8257851067465032,0.3265283664390986,0.3265283664390986
14,-0.0443135202,0.00775116682,-0.101814061,-0.138376415,-0.167893693,0.0295172781,0.0274956562,0.0483847111,64,64,24.3125,1,0.07639603740585613,0.3055420172852158,7.687003028121056e-07,0.0013962387760893093,0.005584185080068912,1.5653713482516085,0.8812421198586385,0.13708360538800737,0.13708360538800737
15,0.108073473,-0.0140658915,-0.0565468967,0.0374606848,0.0191432741,0.0183174107,0.0300413407,0.0577588603,64,64,22.046875,1,0.10199536829273172,0.40792522282734156,1.3533704079035552e-06,0.0019171966751363532,0.007667729368496888,1.6603207042974106,0.8151359884992659,0.004153887955447429,0.004153887955447429
16,0.184461355,-0.0310612619,-0.154775649,-0.00137555599,0.00363273523,0.00500829145,0.0141827697,0.0128736608,64,64,15.046875,1,0.2187881511967616,0.8750319433405198,1.304794625802208e-06,0.0017379179463598343,0.006950713325430396,1.061397458436303,0.9969040658362113,0.005030088784880686,0.005030088784880686
17,0.109886616,0.147948742,0.086587429,0.344422787,0.329761207,0.0146615803,0.0284766331,0.0518987924,64,64,18.4375,1,0.10238534692434795,0.40948492228098127,7.694832638141226e-07,0.0014061503214593575,0.005623825795341747,1.5968200738610676,0.8686763773752771,0.0011162667410001454,0.0011162667410001454
18,0.158939838,-0.21789974,-0.0230613947,-0.082021296,-0.082927227,0.000905930996,0.00279988837,6.27150002e-05,8,8,4.625,1,0.28441637847854273,1.1375086585659477,1.480930578206754e-06,0.002020294173103627,0.008080062502198984,1.747644750092983,0.7984360975125796,0.0008455675086517603,0.0008455675086517603
19,0.193313062,0.0908337533,-0.166627064,0.117519751,0.107392587,0.0101271644,0.0154687641,0.0153140901,64,64,15.421875,1,0.21706903125241037,0.8681564116560446,9.29339370587924e-07,0.0015941540239118033,0.0063757369212976926,1.5324577056955622,0.8117373853092176,0.0018578187045345345,0.0018578187045345345
